股票代码,股票简称,现价(元),涨跌幅(%),解禁股类型2020.01.01-2020.12.31,解禁日期2020.01.01-2020.12.31,总解禁股数(股)2020.01.01-2020.12.31,总解禁金额(元)2020.01.01-2020.12.31,解禁成本(元)2020.01.01-2020.12.31
002542.SZ,中化岩土,3.79,1.34,定向增发机构配售股份,20201228,--,--,8.07
002544.SZ,杰赛科技,15.62,1.63,定向增发机构配售股份,20201221,--,--,29.82
002552.SZ,宝鼎科技,17.27,1.89,定向增发机构配售股份,20200914,--,--,12.74
002556.SZ,辉隆股份,9.14,-1.83,定向增发机构配售股份,20201026,--,--,6.25
002560.SZ,通达股份,10.03,2.24,定向增发机构配售股份,20200305,12711864.00,80211861.84,4.65
002567.SZ,唐人神,11.15,2.96,定向增发机构配售股份,20200324,24836655.00,182549414.25,6.38
002567.SZ,唐人神,11.15,2.96,定向增发机构配售股份,20200831,34685939.00,386748219.85,7.14
002582.SZ,好想你,15.92,-0.06,定向增发机构配售股份,20200708,38718810.00,480887620.20,7.88
002583.SZ,海能达,8.85,-0.90,定向增发机构配售股份,20201218,--,--,11.20
002585.SZ,双星新材,10.12,1.61,定向增发机构配售股份,20200420,67125646.00,379931156.36,8.64
002586.SZ,*ST围海,2.03,1.00,定向增发机构配售股份,20200313,123252859.00,317992376.22,7.47
002587.SZ,奥拓电子,6.26,0.81,定向增发机构配售股份,20200220,6150000.00,50430000.00,7.18
002587.SZ,奥拓电子,6.26,0.81,定向增发机构配售股份,20200804,5400000.00,32724000.00,7.08
002587.SZ,奥拓电子,6.26,0.81,定向增发机构配售股份,20201229,--,--,7.08
002591.SZ,恒大高新,7.89,-0.50,定向增发机构配售股份,20200601,20540071.00,146450706.23,13.09
002591.SZ,恒大高新,7.89,-0.50,定向增发机构配售股份,20200622,8937728.00,68373619.20,13.09
002596.SZ,海南瑞泽,6.70,0.15,定向增发机构配售股份,20200121,83564012.00,554029399.56,5.77
002596.SZ,海南瑞泽,6.70,0.15,定向增发机构配售股份,20200601,34409018.00,291788472.64,7.64
